firm_name,domain,website,phone,address,state,google_rating,rating_count,attorney_count,team_page_found,practice_areas,is_law_firm,faq_present,schema_present,google_ads_pixel,book_call_cta,passes_icp,icp_reason,score,priority_tier,query_practice_area,query_city,source,place_id,first_seen,enrich_status
Lerner and Rowe Injury Attorneys,lernerandrowe.com,https://lernerandrowe.com/arizona/phoenix/,(602) 977-1900,"2701 E Camelback Rd Ste 140, Phoenix, AZ 85016",,4.7,986,,False,personal injury,True,False,False,False,False,True,,3,B,personal injury,"Phoenix, AZ",google_places,ChIJE0qDyxINK4cRIxFs3SqL7NU,2026-06-10,ok
Harris Injury Law,callharris.com,https://www.callharris.com/?utm_campaign=gmb,(480) 397-7319,"1136 E Campbell Ave, Phoenix, AZ 85014",Arizona,5,118,2,True,personal injury,True,False,True,True,True,True,,4,A,personal injury,"Phoenix, AZ",google_places,ChIJW58gKdMTK4cRcAvs5OXSYxY,2026-06-10,ok
Big Auto Accident Attorneys,bigauto.com,https://bigauto.com/?utm_campaign=gmb,(480) 409-3949,"3550 N Central Ave Ste 550, Phoenix, AZ 85012",Arizona,4.9,661,8,True,personal injury,True,False,True,True,True,True,,4,A,personal injury,"Phoenix, AZ",google_places,ChIJQYIqcP11K4cRtkxwA3WnwYU,2026-06-10,ok
Runion Personal Injury Lawyers - Phoenix Office,runioninjurylaw.com,https://www.runioninjurylaw.com/?utm_campaign=gmb&utm_medium=organic&utm_source=google,(602) 584-9362,"3200 N Central Ave #1100, Phoenix, AZ 85012",Arizona,4.9,206,1,True,personal injury,True,True,True,True,True,False,headcount_out_of_range(1),0,,personal injury,"Phoenix, AZ",google_places,ChIJW7ZF4nMNK4cRd3ZPrrgjy0Y,2026-06-10,ok
Hutzler Law Personal Injury & Car Accident Lawyer Phoenix,hutzlerlaw.com,https://hutzlerlaw.com/?utm_campaign=gmb&utm_source=googlemaps,(602) 842-9940,"4323 N 12th St Ste 101, Phoenix, AZ 85014",Arizona,4.9,158,6,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Phoenix, AZ",google_places,ChIJSSVdtkENK4cR_YNW97Ygx_g,2026-06-10,ok
"Saavedra Law Firm, PLC",legalbetter.com,https://legalbetter.com/,(602) 878-6625,"706 E Bell Rd #111, Phoenix, AZ 85022",Arizona,5,328,1,True,personal injury,True,True,True,False,True,False,headcount_out_of_range(1),0,,personal injury,"Phoenix, AZ",google_places,ChIJuzyv86VtK4cRgVSdVTDLn_Y,2026-06-10,ok
Rafi Law Group,rafilawgroup.com,https://www.rafilawgroup.com/?utm_source=GMB&utm_medium=organic&utm_campaign=phoenix,(623) 207-1555,"2235 N 35th Ave #100, Phoenix, AZ 85009",AZ,4.6,3465,20,True,personal injury,True,False,True,True,True,True,,4,A,personal injury,"Phoenix, AZ",google_places,ChIJG2-BLk1uK4cRQ5fZCsoFqf4,2026-06-10,ok
Gallagher & Kennedy Injury Lawyers,gallagherkennedyinjury.com,https://www.gallagherkennedyinjury.com/,(602) 530-8400,"2575 E Camelback Rd #1100, Phoenix, AZ 85016",Arizona,4.9,144,,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Phoenix, AZ",google_places,ChIJNeT1v18NK4cRJq6KYGu9yQ8,2026-06-10,ok
Car Accident Lawyer Pros Phoenix,car-accident-lawyer-phoenix-pros.com,https://car-accident-lawyer-phoenix-pros.com/,(602) 486-7486,"5060 N 19th Ave Ste #300-8, Phoenix, AZ 85015",AZ,4.9,267,,True,personal injury,True,False,False,False,True,True,,3,B,personal injury,"Phoenix, AZ",google_places,ChIJPbzJIFsTK4cRFvNUSxdCvYk,2026-06-10,ok
Moore Injury Law,mooreinjurylaw.com,https://mooreinjurylaw.com/,(602) 795-6605,"5070 N 40th St Unit 240, Phoenix, AZ 85018",AZ,5,92,6,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Phoenix, AZ",google_places,ChIJ3dmUlhENK4cRCuVdCpSpkZM,2026-06-10,ok
Esquire Law,esquirelaw.com,https://esquirelaw.com/?y_source=1_MjY3MjIzODktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(623) 263-2626,"4747 N 22nd St Suite 300, Phoenix, AZ 85016",Arizona,4.8,520,8,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Phoenix, AZ",google_places,ChIJK3QWXK0TK4cRfzvllM0-oe0,2026-06-10,ok
Big Chad Law Injury & Accident Lawyers,bigchadlaw.com,https://www.bigchadlaw.com/,(602) 560-5820,"1610 W McDowell Rd, Phoenix, AZ 85007",Arizona,4.9,620,4,True,personal injury; criminal defense; immigration,True,True,True,False,True,True,,1,C,personal injury,"Phoenix, AZ",google_places,ChIJd1VqW0sSK4cRMpvNtNppxpE,2026-06-10,ok
Phoenix Accident and Injury Law Firm,phxinjurylaw.com,https://phxinjurylaw.com/locations/chandler-car-accident-lawyers/,(480) 634-7480,"600 W Ray Rd B1, Chandler, AZ 85225",Arizona,4.8,138,6,True,personal injury,True,True,True,True,False,True,,3,B,personal injury,"Phoenix, AZ",google_places,ChIJPSt5lK4AK4cRBhYn1D4kFfs,2026-06-10,ok
Morgan & Morgan,forthepeople.com,https://www.forthepeople.com/office-locations/arizona/phoenix/?utm_source=GMB&utm_medium=local&utm_campaign=PhoenixAZGMB,(602) 735-0250,"2355 E Camelback Rd Ste 335, Phoenix, AZ 85016",AZ,4.7,2953,18,True,personal injury; other,True,True,True,True,True,True,,3,B,personal injury,"Phoenix, AZ",google_places,ChIJ_ebI6c8TK4cRoLOmWnznGSQ,2026-06-10,ok
Gage Mathers Law Group,gagemathers.com,https://www.gagemathers.com/,(602) 258-0646,"2525 E Arizona Biltmore Cir, Phoenix, AZ 85016",Arizona,4.7,94,4,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Phoenix, AZ",google_places,ChIJKbm3rEcNK4cRVmn3eX4ANyc,2026-06-10,ok
Friedl Richardson,friedlrichardson.com,https://www.friedlrichardson.com/,(602) 553-2220,"13633 N Cave Creek Rd, Phoenix, AZ 85022",AZ,4.9,130,4,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Phoenix, AZ",google_places,ChIJvTFocDNwK4cRH6g5W02BqBg,2026-06-10,ok
Goldberg & Osborne - Phoenix Injury Lawyers,1800theeagle.com,https://1800theeagle.com/locations/east-phoenix/?utm_source=googsmbs&utm_medium=organic&utm_campaign=organic,(602) 808-6200,"2600 N 44th St Ste A200, Phoenix, AZ 85008",AZ,4.6,386,10,True,personal injury,True,False,True,True,True,True,,4,A,personal injury,"Phoenix, AZ",google_places,ChIJx1RiRDgMK4cRHtVCI6Tz8nQ,2026-06-10,ok
"McCormick Law, Car Wreck Attorneys PLLC",limits.law,https://limits.law/,(602) 806-7099,"20 E Thomas Rd #2200, Phoenix, AZ 85012",Arizona,4.8,477,5,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Phoenix, AZ",google_places,ChIJr9QAyaMTK4cR6aAPilb2AeY,2026-06-10,ok
"Ramos Law Personal Injury & Accident Lawyers - Phoenix, Arizona",ramoslaw.com,https://www.ramoslaw.com/phoenix-arizona/?utm_source=GBP&utm_medium=organic&utm_campaign=phoenix_arizona,(480) 877-9700,"4201 N 24th St #240, Phoenix, AZ 85016",Arizona,4.9,72,,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Phoenix, AZ",google_places,ChIJ0xuXI84NK4cRyoz5zC1WS2U,2026-06-10,ok
Zanes Law Injury Lawyers,zaneslaw.com,https://zaneslaw.com/phoenix-injury/?utm_source=google&utm_medium=organic&utm_campaign=phoenix,(602) 960-3571,"3333 E Camelback Rd Unit 250, Phoenix, AZ 85018",Arizona,4.8,738,,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Phoenix, AZ",google_places,ChIJFypeKkgMK4cRAlpFj8PnyKs,2026-06-10,ok
"Kamper & Estrada, PLLC",lawphx.com,https://www.lawphx.com/,(602) 875-0006,"3030 N 3rd St Suite 770, Phoenix, AZ 85012",Arizona,5,201,3,True,personal injury; other,True,True,True,False,True,True,,1,C,personal injury,"Phoenix, AZ",google_places,ChIJccWBPMASK4cRCfV5wvjTPQI,2026-06-10,ok
AJ Law - Accident Justice,accidentjustice.com,https://accidentjustice.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-Phoenix,(602) 353-7576,"7201 N 7th St Suite B, Phoenix, AZ 85020",Arizona,4.9,140,6,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Phoenix, AZ",google_places,ChIJVXvkPzxuK4cRjZCztIQBBPU,2026-06-10,ok
TopDog Law Personal Injury Lawyers,topdoglaw.com,https://topdoglaw.com/locations/phoenix-az/personal-injury-lawyer/?utm_source=google&utm_medium=organic&utm_campaign=GMB-Central-Phoenix-AZ,(602) 428-9331,"2700 N Central Ave Ste 320B, Phoenix, AZ 85004",Arizona,4.7,263,,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Phoenix, AZ",google_places,ChIJ4UFBdGwTK4cRqIdenf_xFUU,2026-06-10,ok
Thompson Law,1800lionlaw.com,https://1800lionlaw.com/az/phoenix/?utm_source=google&utm_medium=organic&utm_campaign=gbp_phoenix&utm_content=maps,(480) 660-0884,"4745 N 7th St Ste 230, Phoenix, AZ 85014",Texas,4.8,53,32,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Phoenix, AZ",google_places,ChIJrS-TSKoTK4cRkprKMfnnY1Q,2026-06-10,ok
Lebovitz Law Group,lebovitzlawgroup.com,https://www.lebovitzlawgroup.com/,(602) 975-5550,"55 E Lexington Ave, Phoenix, AZ 85012",Arizona,5,183,4,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Phoenix, AZ",google_places,ChIJ6Seo5mYTK4cRc2GRZXY0IVo,2026-06-10,ok
The Lowrider Lawyers - Truck Crash & Injury Attorneys,lowriderlawyers.com,https://lowriderlawyers.com/,(602) 905-0792,"801 E Washington St, Phoenix, AZ 85034",AZ,5,140,3,True,personal injury,True,False,True,True,False,True,,4,A,personal injury,"Phoenix, AZ",google_places,ChIJf947qTATK4cRmB7m_4Jrz_A,2026-06-10,ok
The Law Offices Of Alcock & Associates P.C.,alcocklaw.com,https://www.alcocklaw.com/,(602) 989-5000,"2 N Central Ave 2600 26th floor, Phoenix, AZ 85004",Arizona,4.9,3535,15,True,personal injury; immigration; criminal defense; family law,True,True,True,False,True,True,,1,C,personal injury,"Phoenix, AZ",google_places,ChIJDf2anCESK4cRwz4SOd3pBhk,2026-06-10,ok
Blake Law Firm,accidentlawyersarizona.com,https://accidentlawyersarizona.com/,(602) 274-7000,"5225 N Central Ave Ste 101, Phoenix, AZ 85012",Arizona,4.9,359,,False,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Phoenix, AZ",google_places,ChIJ7S6unaQSK4cRNWFNF-5ICEI,2026-06-10,ok
Wade & Nysather AZ Accident Attorneys,azaccident.com,https://azaccident.com/car-accident-lawyer-glendale-az/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=glendale,(623) 254-4944,"15232 N 59th Ave, Glendale, AZ 85306",AZ,4.9,155,,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Phoenix, AZ",google_places,ChIJ1dElrBVpK4cReL-OTigQA0E,2026-06-10,ok
CLS Law,clswins.com,https://www.clswins.com/,(855) 257-9467,"2600 N Central Ave #730, Phoenix, AZ 85004",,4.8,122,,False,other,True,False,False,False,False,False,practice_area_mismatch,0,,personal injury,"Phoenix, AZ",google_places,ChIJeZi6wV8NK4cR5J41Y73yF6E,2026-06-10,ok
Impact Legal Car Accident Attorneys Phoenix,impact-legal.com,http://www.impact-legal.com/?utm_campaign=gmb&utm_medium=organic&utm_source=google,(602) 345-1818,"16202 N Cave Creek Rd Ste D, Phoenix, AZ 85032",AZ,5,52,1,True,personal injury,True,True,True,True,True,False,headcount_out_of_range(1),0,,personal injury,"Phoenix, AZ",google_places,ChIJP-8Etu1xK4cRGw2-g3op0Wk,2026-06-10,ok
Alex Law,alexlawfirm.com,https://www.alexlawfirm.com/?utm_source=GMB&utm_medium=organic&utm_campaign=Phoenix,(602) 483-6114,"1717 E Bell Rd #1, Phoenix, AZ 85022",AZ,4.8,254,1,True,personal injury,True,True,True,False,True,False,headcount_out_of_range(1),0,,personal injury,"Phoenix, AZ",google_places,ChIJK05kY-BxK4cRLEmUSb5ldGI,2026-06-10,ok
Valley Injury Law,azvalleyinjurylaw.com,http://www.azvalleyinjurylaw.com/,(480) 841-8009,"4600 E Washington St # 300, Phoenix, AZ 85034",AZ,5,118,,False,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Phoenix, AZ",google_places,ChIJ85pjRzINK4cR0VnlCiIxSAg,2026-06-10,ok
Sweet James Accident Attorneys,sweetjames.com,https://sweetjames.com/phoenix-az/personal-injury-lawyer/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing-phoenix,(602) 858-7768,"7310 N 16th St #250, Phoenix, AZ 85020",Arizona,4.5,447,400,True,personal injury,True,True,True,True,False,False,headcount_out_of_range(400),0,,personal injury,"Phoenix, AZ",google_places,ChIJ57XBWGcSK4cRubsuN4e2OIQ,2026-06-10,ok
Brad Johnson Injury Law,bradjohnsoninjurylaw.com,https://bradjohnsoninjurylaw.com/?utm_source=GMB&utm_medium=Local&utm_campaign=WebsiteLink,(602) 650-1200,"7448 W Glendale Ave Ste B101, Glendale, AZ 85303",Arizona,4.9,484,6,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Phoenix, AZ",google_places,ChIJGz66DPhrK4cR-DKyIuREHac,2026-06-10,ok
ELG Accident Attorneys,elgphx.com,https://www.elgphx.com/,(623) 877-3600,"2950 N 91st Ave Ste C-103, Phoenix, AZ 85037",Arizona,4.9,323,,True,personal injury; other,True,True,True,False,True,True,,1,C,personal injury,"Phoenix, AZ",google_places,ChIJVVVVVUhAK4cRtA8g9tUO6uc,2026-06-10,ok
Michael Cordova,mcordova.com,https://www.mcordova.com/,(602) 265-6700,"1700 N 7th St, Phoenix, AZ 85006",Arizona,4.8,929,4,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Phoenix, AZ",google_places,ChIJq6qqqn5sK4cRpH3p7TrCuOU,2026-06-10,ok
Phoenix Car Accident Lawyer Matt Hartley,hartleylawusa.com,https://hartleylawusa.com/?utm_source=google&utm_medium=organic&utm_campaign=Phoenix,(602) 649-1696,"200 E Van Buren St Fl 3, Phoenix, AZ 85004",Arizona,5,209,,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Phoenix, AZ",google_places,ChIJIXJtnsUud04R7v4ympmhFR8,2026-06-10,ok
"Ruben Law Group, AZ Injury Attorney",rubenlawgroup.com,https://rubenlawgroup.com/,(623) 777-3405,"231 W Thomas Rd Ste 2, Phoenix, AZ 85013",AZ,4.9,111,2,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Phoenix, AZ",google_places,ChIJ8WCp94ITK4cR-czCmQAECEw,2026-06-10,ok
Hutson Law Firm,lawhutson.com,https://lawhutson.com/,(623) 628-7400,"21630 N 19th Ave Ste B4-B, Phoenix, AZ 85027",Arizona,4.9,70,1,True,personal injury,True,False,True,False,True,False,headcount_out_of_range(1),0,,personal injury,"Phoenix, AZ",google_places,ChIJiZ6JOyhvK4cRNVDxUnKCRnY,2026-06-10,ok
Plattner Verderame Arizona Injury Lawyers,plattner-verderame.com,https://plattner-verderame.com/?utm_source=gmb&utm_medium=organic&utm_campaign=GMB-PV-Phoenix,(602) 899-2431,"316 E Flower St, Phoenix, AZ 85012",Arizona,4.9,87,4,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Phoenix, AZ",google_places,ChIJw21yS2ASK4cRsB2S05vQ2rg,2026-06-10,ok
CHM Injury Attorneys,chmlaw.com,https://www.chmlaw.com/personal-injury/,(602) 755-6290,"2150 E Highland Ave #107, Phoenix, AZ 85016",AZ,5,63,,True,personal injury; criminal defense; family law,True,False,True,False,True,True,,2,B,personal injury,"Phoenix, AZ",google_places,ChIJVVYeGg4NK4cRKJH1z65w3rg,2026-06-10,ok
"Arizona Injury Law Group, PLLC",azworkcomplaw.com,https://www.azworkcomplaw.com/?utm_source=gmb&utm_medium=organic&utm_content=listing&utm_campaign=local,(602) 346-9009,"1136 E Campbell Ave, Phoenix, AZ 85014",AZ,4.6,46,3,True,employment; personal injury,True,True,True,False,True,True,,1,C,personal injury,"Phoenix, AZ",google_places,ChIJuQ-pTJoSK4cRzN13f_KGDYg,2026-06-10,ok
"Zachar Law Firm, P.C.",zacharassociates.com,https://www.zacharassociates.com/?utm_source=GMB&utm_medium=organic&utm_campaign=Phoenix,(602) 494-4800,"714 E Rose Ln, Phoenix, AZ 85014",California,4.8,496,,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Phoenix, AZ",google_places,ChIJ85dxdjpyK4cRbUuohWPu4vc,2026-06-10,ok
Denver Personal Injury Lawyers®,denverlaw.com,https://www.denverlaw.com/,(720) 500-4878,"1001 Bannock St #8, Denver, CO 80204",Colorado,5,328,2,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Denver, CO",google_places,ChIJQ0ETWZZ5bIcRc8jtOo-H5Gg,2026-06-10,ok
"Bowman Law, LLC",coloradopersonalinjuryhelp.com,https://coloradopersonalinjuryhelp.com/,(720) 863-6904,"2727 Bryant St #102, Denver, CO 80211",CO,5,516,1,True,personal injury,True,True,True,False,True,False,headcount_out_of_range(1),0,,personal injury,"Denver, CO",google_places,ChIJtX6zsq6Ga4cRhj-cR8n99Ls,2026-06-10,ok
Law Firm of Jeremy Rosenthal,lawfirmofjeremyrosenthal.com,http://www.lawfirmofjeremyrosenthal.com/?utm_source=GBP&utm_medium=GBP&utm_campaign=GBP_Denver&utm_id=GBP_Denver,(720) 414-6977,"600 17th St Suite 2803K, Denver, CO 80202",Colorado,5,234,3,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Denver, CO",google_places,ChIJCS7ZizB_bIcRAvI8rdKP3qE,2026-06-10,ok
Zaner Law Personal Injury and Car Accident Attorneys,zanerhardenlaw.com,https://zanerhardenlaw.com/?utm_source=GMB&utm_medium=organic&utm_campaign=denver,(720) 640-6852,"1610 Wynkoop St #120, Denver, CO 80202",Colorado,4.9,440,4,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Denver, CO",google_places,ChIJDzQfC8R4bIcRpiilQCWWsqs,2026-06-10,ok
"Bachus & Schanker, Personal Injury Lawyers | Denver Office",coloradolaw.net,https://www.coloradolaw.net/denver/?utm_campaign=local-listings&utm_term=denver,(303) 222-2222,"1801 California St Ste 4800, Denver, CO 80202",Colorado,4.7,1976,,True,personal injury; employment,True,True,True,False,True,True,,1,C,personal injury,"Denver, CO",google_places,ChIJfb0Y6MR4bIcRacInKLYE17A,2026-06-10,ok
Amy G Injury Firm,amyglaw.com,https://amyglaw.com/?utm_source=GBP&utm_medium=GBP&utm_campaign=GBP_Denver_Florida&utm_id=GBP_Denver_Florida,(720) 741-7807,"3801 E Florida Ave #100, Denver, CO 80210",Colorado,4.9,1759,7,True,personal injury; criminal defense; other,True,True,True,False,True,True,,1,C,personal injury,"Denver, CO",google_places,ChIJZSe6lFJ-bIcR58qZm4GVj38,2026-06-10,ok
CGH Injury Lawyers,cghlawfirm.com,https://www.cghlawfirm.com/denver/?utm_source=google&utm_medium=organic&utm_campaign=gbp_denver,(720) 669-8062,"2701 Lawrence St Ste 201, Denver, CO 80205",,5,344,,False,personal injury,True,False,False,False,False,True,,3,B,personal injury,"Denver, CO",google_places,ChIJxdFzG3V-bIcRMutUd5iNALE,2026-06-10,ok
The Wilhite Law Firm - Personal Injury Attorneys,wilhitelawfirm.com,https://www.wilhitelawfirm.com/?utm_source=GBP&utm_medium=GBP&utm_campaign=GBP_Denver&utm_id=GBP_Denver_Ogden,(720) 303-3062,"1600 N Ogden St, Denver, CO 80218",CO,4.7,1605,25,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Denver, CO",google_places,ChIJR20Jey15bIcRsSt2PVO6uE4,2026-06-10,ok
Fang Injury Lawyers Denver,fanglawfirm.com,https://www.fanglawfirm.com/?utm_campaign=gmb&utm_medium=organic&utm_source=google,(720) 713-3229,"101 University Blvd Ste 230, Denver, CO 80206",Colorado,4.9,791,13,True,personal injury,True,False,True,True,True,True,,4,A,personal injury,"Denver, CO",google_places,ChIJQeIUwyl_bIcROvgZMIHVkws,2026-06-10,ok
"Frank Azar Car & Truck Accident Lawyers - Denver, Colorado",fdazar.com,https://www.fdazar.com/denver-personal-injury-lawyer/?utm_source=google&utm_medium=organic&utm_campaign=gbpdenvercolfax,(720) 809-7855,"1245 E Colfax Ave #302, Denver, CO 80218",Colorado,4.9,2379,,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Denver, CO",google_places,ChIJJcqwf2R5bIcRQlD0lYoaYAk,2026-06-10,ok
Dormer Harpring Denver Personal Injury Lawyers,denvertrial.com,https://www.denvertrial.com/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-listing,(719) 738-8555,"3457 Ringsby Ct Unit 110, Denver, CO 80216",Colorado,4.9,293,8,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Denver, CO",google_places,ChIJjTedYvN9bIcRHigbKXBPbbI,2026-06-10,ok
Monge & Associates Injury and Accident Attorneys,becauseyouwanttowin.com,https://www.becauseyouwanttowin.com/denver-co-personal-injury-lawyer/,(720) 743-5827,"825 Speer Blvd Suite# 6, Denver, CO 80218",Colorado,4.9,243,,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Denver, CO",google_places,ChIJ9b_2Vs9_bIcRJ69oBNzqpMY,2026-06-10,ok
Genco Injury Attorneys,gencoinjury.com,https://gencoinjury.com/?utm_campaign=gmb&utm_medium=organic&utm_source=gbp_denver,(303) 647-4522,"1205 S Platte River Dr #200, Denver, CO 80223",Colorado,5,313,2,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Denver, CO",google_places,ChIJkQTmxxN_bIcRgdaXZEAjz5o,2026-06-10,ok
Ridder Law - Denver,ridderlaw.com,https://ridderlaw.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(720) 812-1047,"1575 Race St, Denver, CO 80206",Colorado,5,199,1,True,personal injury,True,False,True,True,True,False,headcount_out_of_range(1),0,,personal injury,"Denver, CO",google_places,ChIJPeAro915bIcRWmHDwN6qGNQ,2026-06-10,ok
Denver Trial Lawyers,denvertriallawyers.com,https://www.denvertriallawyers.com/?utm_source=Google&utm_medium=organic&utm_campaign=GMB_website,(303) 647-9990,"4601 DTC Blvd #950, Denver, CO 80237",CO,4.9,82,8,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Denver, CO",google_places,ChIJX3mI7QCHbIcRuz7K8wVIrqM,2026-06-10,ok
Fuller Personal Injury Law - Denver Car Accident Lawyers,personalinjuryco.com,https://personalinjuryco.com/?utm_campaign=gmb,(720) 902-9644,"1580 Lincoln St #200, Denver, CO 80203",Colorado,4.9,110,1,True,personal injury,True,True,True,False,True,False,headcount_out_of_range(1),0,,personal injury,"Denver, CO",google_places,ChIJ0d-enjV5bIcRTDOk37gBi6I,2026-06-10,ok
Brad Freedberg Attorney at Law,bradfreedberg.com,http://www.bradfreedberg.com/,(303) 892-0900,"730 17th St UNIT 900, Denver, CO 80202",Colorado,4.9,76,1,True,personal injury,True,True,True,False,True,False,headcount_out_of_range(1),0,,personal injury,"Denver, CO",google_places,ChIJqbucyyl5bIcRDSRNwoUDGNo,2026-06-10,ok
Olson Personal Injury Lawyers,olsonlawfirm.com,https://olsonlawfirm.com/denver/?utm_source=google&utm_medium=gbp&utm_campaign=denver,(720) 730-4325,"2150 S Bellaire St Ste 202, Denver, CO 80222",Colorado,4.8,126,4,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Denver, CO",google_places,ChIJpc2P1n97bIcR005BSnXs1tw,2026-06-10,ok
Springer & Steinberg,springersteinberg.com,https://www.springersteinberg.com/,(303) 861-2800,"1400 S Colorado Blvd Ste 500, Denver, CO 80222",CO,4.8,127,14,True,personal injury; criminal defense; family law,True,False,True,False,True,True,,2,B,personal injury,"Denver, CO",google_places,ChIJW5XowNV4bIcRKAgVRBZTddM,2026-06-10,ok
Denver Personal Injury Lawyers® | Lakewood Office,denverlaw.com,https://www.denverlaw.com/lakewood-personal-injury-lawyer/,(720) 500-4878,"355 S Teller St Ste 200, Lakewood, CO 80226",CO,5,17,2,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Denver, CO",google_places,ChIJI7n1MiqBa4cRiqwjKLpyFTc,2026-06-10,ok
McDivitt Law Firm,mcdivittlaw.com,https://www.mcdivittlaw.com/locations/denver/,(303) 396-6474,"1777 S Harrison St #1350, Denver, CO 80210",Colorado,4.5,427,10,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Denver, CO",google_places,ChIJ8xYdqYN-bIcR5VGfpElyiz8,2026-06-10,ok
Levine Law Accident Attorneys - Denver,mydenveraccidentlawfirm.com,https://www.mydenveraccidentlawfirm.com/?utm_source=GMBlisting&utm_medium=organic,(303) 578-3729,"4500 Cherry Creek S Dr #400, Denver, CO 80246",Colorado,4.6,299,5,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Denver, CO",google_places,ChIJ1Y8g2dR9bIcRJWZ_hxSS3yo,2026-06-10,ok
The Paul Wilkinson Law Firm,callpaul.com,https://callpaul.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing-denver,(720) 915-2452,"999 Jasmine St, Denver, CO 80220",Colorado,4.8,181,6,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Denver, CO",google_places,ChIJ45q8GHV-bIcRaHh16YsNPvM,2026-06-10,ok
Larson Larimer Schneider - Personal Injury Attorney - Denver,larsonandlarimer.com,https://www.larsonandlarimer.com/,(303) 221-0039,"9605 S Kingston Ct Ste 250, Englewood, CO 80112",Colorado,4.8,107,3,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Denver, CO",google_places,ChIJlbHgHViGbIcRQASYuUOjdhc,2026-06-10,ok
Fuicelli & Lee Injury Lawyers,coloradoinjurylaw.com,https://coloradoinjurylaw.com/?utm_source=google&utm_medium=organic&utm_campaign=GBP,(303) 355-7202,"1731 Gilpin St, Denver, CO 80218",Colorado,4.9,372,,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Denver, CO",google_places,ChIJKbVZZTR5bIcRmgmA63VJDKw,2026-06-10,ok
"Frank Azar Car & Truck Accident Lawyers - Lakeside, Colorado",fdazar.com,https://www.fdazar.com/denver-personal-injury-lawyer/?utm_source=google&utm_medium=organic&utm_campaign=gbpdenverharlan,(303) 529-2104,"4704 N Harlan St Ste 205, Denver, CO 80212",Colorado,4.8,459,1,True,personal injury; other,True,False,True,False,True,False,headcount_out_of_range(1),0,,personal injury,"Denver, CO",google_places,ChIJxyRqerN_bIcR8pOa4fNcD6c,2026-06-10,ok
Manning Herington Accident & Injury Attorneys - Denver,manninglaw.us,https://manninglaw.us/?utm_source=google&utm_medium=organic&utm_campaign=gbp_denver,(720) 697-2959,"2246 Irving St Suite 100, Denver, CO 80211",Colorado,5,50,2,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Denver, CO",google_places,ChIJvTiWn8cUiSIR0bDOU7sLF4c,2026-06-10,ok
DM Injury Law Denver,dmlawusa.com,https://www.dmlawusa.com/denver/?utm_source=GMB&utm_medium=organic&utm_campaign=denver,(720) 650-6801,"3401 Quebec St Ste 4060, Denver, CO 80207",Colorado,5,39,70,True,personal injury,True,True,True,True,True,False,headcount_out_of_range(70),0,,personal injury,"Denver, CO",google_places,ChIJfzf8JvZ7bIcRHo0Hchj_KfI,2026-06-10,ok
